                 Pitcher   G  W  L  SV  CG  SHO   BF    IP   H  HR  SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA   WHIP ERA+ FIP- kwERA-    Diff    HR%      K%    BB%   K-BB% Age  T                Team League
372        Nakamura Yuta  25  0  1  12   0    0  108  27.0  19   1  29   8    1   0   1   7   5   1.67   2.77   2.86   1.00  203   69     74   -1.10   0.9%   26.9%   7.4%   19.4%  29  R         Seibu Lions     EL
373          Omagari Ren  14  0  0   0   0    0   80  18.2  15   1  12  10    2   0   1   6   4   1.93   4.57   4.55   1.34  175  114    118   -2.64   1.2%   15.0%  12.5%    2.5%  27  R         Seibu Lions     EL
374        Sasaki Takeru  12  0  0   0   0    0   45  12.0   8   0   8   3    0   1   0   1   0   0.00   3.22   3.69   0.92  999   80     96   -3.22   0.0%   17.8%   6.7%   11.1%  29  L         Seibu Lions     EL
375        Sato Shunsuke   4  0  0   0   0    0   14   4.0   2   0   2   0    0   0   0   0   0   0.00   2.55   3.37   0.50  999   64     88   -2.55   0.0%   14.3%   0.0%   14.3%  25  L         Seibu Lions     EL
376            Satoh Sou   2  2  0   0   0    0   48  11.0  12   0   8   8    0   0   0   5   5   4.09   4.28   4.80   1.82   83  107    125   -0.19   0.0%   16.7%  16.7%    0.0%  22  L         Seibu Lions     EL
377     Shinohara Hibiki  12  6  3   0   0    0  237  57.1  60   1  45   9    0   0   3  20  14   2.20   2.68   3.28   1.20  154   67     85   -0.48   0.4%   19.0%   3.8%   15.2%  18  R         Seibu Lions     EL
378         Sugai Shinya   4  0  2   0   0    0   82  20.0  15   2  18   8    0   1   1   8   6   2.70   4.40   3.58   1.15  125  110     93   -1.70   2.4%   22.0%   9.8%   12.2%  22  L         Seibu Lions     EL
379      Sugiyama Haruki  12  2  4   0   0    0  216  49.0  57   5  32  21    0   3   0  31  27   4.96   5.04   4.29   1.59   68  125    111   -0.08   2.3%   14.8%   9.7%    5.1%  19  L         Seibu Lions     EL
380       Sumida Chihiro   1  0  0   0   0    0   10   3.0   0   0   3   1    0   0   0   0   0   0.00   2.55   2.80   0.33  999   64     73   -2.55   0.0%   30.0%  10.0%   20.0%  25  L         Seibu Lions     EL
381         Takahashi Bo  10  2  3   0   0    0  199  46.1  45   4  28  15    0   4   1  20  16   3.11   4.69   4.15   1.29  109  117    108   -1.58   2.0%   14.1%   7.5%    6.5%  28  R         Seibu Lions     EL
382     Takeuchi Natsuki   4  1  0   0   0    0   63  17.0  13   1  17   0    0   0   0   4   3   1.59   2.32   2.10   0.76  213   58     55   -0.73   1.6%   27.0%   0.0%   27.0%  23  L         Seibu Lions     EL
383        Tamura Ichiro   7  0  1   4   0    0   29   8.0   1   0   5   3    2   0   0   2   0   0.00   3.43   4.11   0.50  999   85    107   -3.43   0.0%   17.2%  10.3%    6.9%  30  R         Seibu Lions     EL
384           Ueda Taiga   8  5  1   0   0    0  180  42.0  52   2  26  11    0   1   2  21  14   3.00   3.79   3.97   1.50  113   94    103   -0.79   1.1%   14.4%   6.1%    8.3%  23  R         Seibu Lions     EL
385            Uema Towa   3  2  0   0   0    0   72  19.0  12   0   6   3    0   0   0   2   1   0.47   3.39   4.38   0.79  721   84    114   -2.92   0.0%    8.3%   4.2%    4.2%  24  R         Seibu Lions     EL
386        Yamada Haruto   1  0  0   0   0    0    4   1.0   1   0   0   1    0   0   0   0   0   0.00   6.55   7.30   2.00  999  163    190   -6.55   0.0%    0.0%  25.0%  -25.0%  21  R         Seibu Lions     EL
387           Yoza Kaito   5  3  1   0   0    0   86  22.0  19   1  15   3    0   1   0   6   5   2.05   3.32   3.40   1.00  165   83     88   -1.27   1.2%   17.4%   3.5%   14.0%  29  R         Seibu Lions     EL
388          Asari Tamon  13  1  3   0   0    0  127  27.2  28   0  19  15    0   3   1  15  10   3.25   4.13   4.49   1.55  106  101    117   -0.88   0.0%   15.0%  11.8%    3.1%  22  R  Nipponham Fighters     EL
389        Fujita Ryusei   7  0  1   0   0    0   40   8.2   7   0   7   5    0   0   0   7   4   4.15   3.67   4.30   1.38   83   90    112    0.48   0.0%   17.5%  12.5%    5.0%  18  L  Nipponham Fighters     EL
390        Fukuda Suguru   3  1  0   0   0    0   13   3.0   4   0   3   1    0   0   0   0   0   0.00   2.55   3.26   1.67  999   62     85   -2.55   0.0%   23.1%   7.7%   15.4%  28  L  Nipponham Fighters     EL
391        Fukushima Ren  12  3  3   0   0    0  236  56.1  46   4  44  23    0   1   2  22  18   2.88   4.19   3.91   1.22  120  102    102   -1.31   1.7%   18.6%   9.7%    8.9%  22  R  Nipponham Fighters     EL
392        Fukutani Koji   8  1  0   0   0    0   29   8.0   3   0   6   1    0   2   0   2   2   2.25   3.18   3.08   0.50  153   78     80   -0.93   0.0%   20.7%   3.4%   17.2%  34  R  Nipponham Fighters     EL
393     Gu Lin Ruei-Yang   3  3  0   0   0    0   60  15.2   8   0  15   4    0   0   1   4   3   1.72   2.40   2.97   0.77  201   59     77   -0.68   0.0%   25.0%   6.7%   18.3%  25  R  Nipponham Fighters     EL
394          Hori Mizuki  19  2  0   2   0    0   86  19.2  22   0  22   6    0   0   1   6   4   1.83   2.23   2.94   1.42  189   54     76   -0.40   0.0%   25.6%   7.0%   18.6%  27  L  Nipponham Fighters     EL
395        Hosono Haruki   9  2  2   0   1    0  175  43.1  37   5  41   8    0   1   0  17  15   3.12   3.78   2.91   1.04  111   92     76   -0.66   2.9%   23.4%   4.6%   18.9%  23  L  Nipponham Fighters     EL
396       Ikeda Takahide   4  0  1   0   0    0   20   3.2   4   0   3   3    0   0   1   4   4   9.82   4.37   4.80   1.91   35  107    125    5.45   0.0%   15.0%  15.0%    0.0%  30  R  Nipponham Fighters     EL
397       Ishikawa Naoya  14  0  0   3   0    0   50  13.2   8   1  13   2    0   0   0   3   3   1.98   3.04   2.60   0.73  174   74     68   -1.06   2.0%   26.0%   4.0%   22.0%  28  R  Nipponham Fighters     EL
398       Kanemura Shoma   1  0  1   0   0    0    7   1.0   3   0   1   1    0   0   0   2   2  18.00   4.55   4.80   4.00   19  111    125   13.45   0.0%   14.3%  14.3%    0.0%  24  R  Nipponham Fighters     EL
399         Katoh Yamato   7  1  1   0   0    0   44   9.0   4   2   6  11    0   3   0   7   7   7.00   9.77   5.94   1.67   49  239    154   -2.77   4.5%   13.6%  25.0%  -11.4%  19  L  Nipponham Fighters     EL
400     Kawakatsu Sorato   3  0  0   0   0    0   17   3.0   8   1   3   1    0   0   0   4   4  12.00   6.88   3.62   3.00   29  168     94    5.12   5.9%   17.6%   5.9%   11.8%  18  R  Nipponham Fighters     EL
401        Kawano Ryusei   2  0  0   0   0    0    8   2.0   1   0   2   1    0   0   1   0   0   0.00   3.05   3.55   1.00  999   75     92   -3.05   0.0%   25.0%  12.5%   12.5%  27  L  Nipponham Fighters     EL
402        Kitaura Ryuji  12  1  0   0   0    0   59  12.2  16   0  10   7    0   0   0   7   7   4.97   3.63   4.29   1.82   69   89    111    1.34   0.0%   16.9%  11.9%    5.1%  25  L  Nipponham Fighters     EL
403        Kitayama Koki   2  0  0   0   0    0   36   9.2   5   0   9   2    0   0   1   1   1   0.93   2.31   2.86   0.72  371   56     74   -1.38   0.0%   25.0%   5.6%   19.4%  26  R  Nipponham Fighters     EL
404   Kuroyanagi Kyosuke  10  1  3   0   0    0  166  36.1  41   1  24  17    0   3   1  20  16   3.96   4.24   4.38   1.60   87  104    114   -0.28   0.6%   14.5%  10.2%    4.2%  22  R  Nipponham Fighters     EL
405     Matsumoto Ryodai  16  1  0   0   0    0   79  18.0  15   1  12  12    0   2   1   6   4   2.00   5.27   4.80   1.50  173  129    125   -3.27   1.3%   15.2%  15.2%    0.0%  23  R  Nipponham Fighters     EL
406        Matsuoka Koki  16  0  3   0   0    0   79  16.0  23   1  15   7    0   2   2  15  13   7.31   4.18   3.79   1.88   47  102     98    3.13   1.3%   19.0%   8.9%   10.1%  24  R  Nipponham Fighters     EL
407       Matsuura Keito  16  2  2   3   0    0  157  34.0  39   1  30  18    0   0   1  16  14   3.71   3.76   4.04   1.68   93   92    105   -0.05   0.6%   19.1%  11.5%    7.6%  21  L  Nipponham Fighters     EL
408      Miyauchi Haruki  17  1  0   3   0    0   63  16.1  11   0  20   2    0   0   0   4   3   1.65   1.47   1.94   0.80  209   36     50    0.18   0.0%   31.7%   3.2%   28.6%  29  R  Nipponham Fighters     EL
409     Nabatame Tsubasa   5  0  0   1   0    0   21   5.0   4   0   6   0    0   1   0   1   1   1.80   1.75   1.94   0.80  192   43     50    0.05   0.0%   28.6%   0.0%   28.6%  30  R  Nipponham Fighters     EL
410    Nakayama Terukazu  11  1  1   0   0    0   69  13.2  21   2   8   4    0   1   1  13   6   3.95   5.38   4.22   1.83   87  131    110   -1.43   2.9%   11.6%   5.8%    5.8%  26  R  Nipponham Fighters     EL
411        Nemoto Haruka  17  0  0   1   0    0   82  17.1  19   4  18   8    0   1   1  10   4   2.08   6.03   3.58   1.56  166  147     93   -3.95   4.9%   22.0%   9.8%   12.2%  22  L  Nipponham Fighters     EL
412       Seimiya Kotaro  12  2  0   0   0    0   77  17.1  12   0  18  15    0   0   2   4   4   2.08   4.07   4.41   1.56  166   99    115   -1.99   0.0%   23.4%  19.5%    3.9%  25  R  Nipponham Fighters     EL
413          Shibata Reo   8  0  0   0   0    0   45  11.2   7   1  16   5    0   0   1   3   3   2.31   3.21   2.36   1.03  149   78     61   -0.90   2.2%   35.6%  11.1%   24.4%  19  R  Nipponham Fighters     EL
414        Shibuya Junki   4  0  1   0   0    0   21   3.1   5   0   2   7    0   0   1   6   6  16.20   8.65   7.18   3.60   21  211    187    7.55   0.0%    9.5%  33.3%  -23.8%  18  L  Nipponham Fighters     EL
415        Shimizu Daiki   4  0  0   0   0    0   21   4.0   2   0   5   6    0   1   0   1   1   2.25   6.30   5.28   2.00  153  154    137   -4.05   0.0%   23.8%  28.6%   -4.8%  18  R  Nipponham Fighters     EL
416    Sugiura Toshihiro  12  1  0   3   0    0   50  12.0  11   0  11   2    0   0   1   4   4   3.00   2.22   3.00   1.08  115   54     78    0.78   0.0%   22.0%   4.0%   18.0%  33  R  Nipponham Fighters     EL
417           Sun Yi-Lei  11  2  0   0   0    0  157  42.2  21   4  41   9    0   2   1  10   9   1.90   3.62   2.76   0.70  182   88     72   -1.72   2.5%   26.1%   5.7%   20.4%  20  R  Nipponham Fighters     EL
418         Tamai Taisho   8  1  0   2   0    0   25   7.0   3   0   6   0    0   1   0   0   0   0.00   2.27   2.40   0.43  999   55     62   -2.27   0.0%   24.0%   0.0%   24.0%  33  R  Nipponham Fighters     EL
419           Tatsu Kota   5  1  1   0   0    0   90  25.2   8   1  24   8    0   0   1   1   1   0.35   3.12   3.02   0.62  986   76     79   -2.77   1.1%   26.7%   8.9%   17.8%  21  R  Nipponham Fighters     EL
420         Uehara Kenta  19  3  1   1   0    0  109  23.0  30   1  23   8    0   0   1  13   9   3.52   3.16   3.42   1.65   98   77     89    0.36   0.9%   21.1%   7.3%   13.8%  31  L  Nipponham Fighters     EL
421        VerHagen Drew  11  5  2   0   0    0  219  58.0  48   2  46  11    0   1   2  14  14   2.17   3.03   3.20   1.02  159   74     83   -0.86   0.9%   21.0%   5.0%   16.0%  34  R  Nipponham Fighters     EL
422       Yamamoto Kodai  12  1  2   0   0    0   73  15.2  17   0  13   8    0   2   1  13  11   6.32   3.81   4.12   1.60   55   93    107    2.51   0.0%   17.8%  11.0%    6.8%  26  L  Nipponham Fighters     EL
423      Yamamoto Takumi   5  0  0   2   0    0   17   5.0   2   1   4   0    0   0   0   1   1   1.80   4.55   2.45   0.40  192  111     64   -2.75   5.9%   23.5%   0.0%   23.5%  25  R  Nipponham Fighters     EL
424     Yamasaki Sachiya   1  0  0   0   0    0   23   6.0   5   1   6   0    0   0   0   1   1   1.50   3.72   2.19   0.83  230   91     57   -2.22   4.3%   26.1%   0.0%   26.1%  32  L  Nipponham Fighters     EL
425     Yamashiro Kotaro   7  1  3   0   0    0   46  10.2  10   0  12   6    0   0   1   5   4   3.38   2.99   3.50   1.50  102   73     91    0.39   0.0%   26.1%  13.0%   13.0%  22  R  Nipponham Fighters     EL
426      Yanagawa Taisei   4  1  0   0   0    0   16   4.0   2   0   8   2    0   0   0   0   0   0.00   1.05   1.05   1.00  999   26     27   -1.05   0.0%   50.0%  12.5%   37.5%  21  R  Nipponham Fighters     EL
427       Zabala Aneurys  19  0  4   3   0    0   77  17.1  22   0  23   3    0   1   0  10  10   5.19   1.59   2.20   1.44   66   39     57    3.60   0.0%   29.9%   3.9%   26.0%  28  R  Nipponham Fighters     EL
428          Ajiro Kenta  11  5  5   0   0    0  205  47.0  56   5  20   8    0   1   0  33  18   3.45   4.66   4.21   1.36   85  134    109   -1.21   2.4%    9.8%   3.9%    5.9%  23  R       Oisix Albirex     EL
429        Escobar Edwin  16  0  1   0   0    0   67  15.1  20   0   9   3    0   0   1  10   9   5.28   2.96   3.90   1.50   55   86    101    2.32   0.0%   13.4%   4.5%    9.0%  33  L       Oisix Albirex     EL
430      Hiwatashi Shuta  13  0  1   0   0    0   76  14.0  25   1  12   8    0   1   2  13  11   7.07   4.69   4.27   2.36   41  135    111    2.38   1.3%   15.8%  10.5%    5.3%  24  R       Oisix Albirex     EL
431           Imai Ryota  12  0  2   0   0    0   94  20.2  25   1  16   8    0   1   5  19  15   6.53   3.94   3.95   1.60   45  114    103    2.59   1.1%   17.0%   8.5%    8.5%  23  R       Oisix Albirex     EL
432           Irei Kaito  16  1  0   0   0    0   43  10.0  13   1   8   1    0   1   1   4   3   2.70   3.85   3.17   1.40  108  111     82   -1.15   2.3%   18.6%   2.3%   16.3%  24  L       Oisix Albirex     EL
433     Kasahara Shotaro  13  0  5   0   0    0  245  54.2  65   4  27  20    0   1   2  34  29   4.77   4.67   4.51   1.55   61  135    117    0.10   1.6%   11.0%   8.2%    2.9%  30  L       Oisix Albirex     EL
434        Kobayashi Jui  20  0  9   0   0    0  220  49.2  50   6  39  17    0   5   1  32  28   5.07   4.88   3.80   1.35   58  141     99    0.19   2.7%   17.7%   7.7%   10.0%  24  R       Oisix Albirex     EL
435    Kobayashi Keisuke  23  1  2   0   0    0  109  23.2  30   1  17   7    0   0   2  18  12   4.56   3.55   3.88   1.56   64  102    101    1.01   0.9%   15.6%   6.4%    9.2%  32  R       Oisix Albirex     EL
436       Makino Kenshin  17  3  2   0   1    1  347  79.1  87   6  62  27    0   1   2  36  25   2.84   4.03   3.79   1.44  103  116     98   -1.19   1.7%   17.9%   7.8%   10.1%  25  L       Oisix Albirex     EL
437          Meguro Koya  19  2  2   0   0    0   78  17.2  21   1  16   6    0   2   1  14  13   6.62   3.83   3.52   1.53   44  111     91    2.79   1.3%   20.5%   7.7%   12.8%  23  L       Oisix Albirex     EL
438        Mikami Tomoya  17  2  3   0   0    0   75  15.2  22   1  17   5    0   0   0  16  14   8.04   3.17   3.20   1.72   36   91     83    4.87   1.3%   22.7%   6.7%   16.0%  36  R       Oisix Albirex     EL
439            Namba Shu  13  1  0   0   0    0   80  17.2  23   1  12   5    0   0   0  12  12   6.11   3.78   3.92   1.58   48  109    102    2.33   1.2%   15.0%   6.2%    8.8%  22  R       Oisix Albirex     EL
440       Nishimura Riku  23  0  2   0   0    0   72  14.1  24   1   4   6    0   0   0   9   9   5.65   5.16   5.08   2.09   52  149    132    0.49   1.4%    5.6%   8.3%   -2.8%  24  R       Oisix Albirex     EL
441           Noto Syuto  16  9  2   0   0    0  409  95.2  88   3  76  39    0   1   3  33  28   2.63   3.62   3.90   1.33  111  105    101   -0.99   0.7%   18.6%   9.5%    9.0%  23  R       Oisix Albirex     EL
442       Padysak Daniel   2  0  0   0   0    0   21   5.0   4   0   2   4    0   0   1   0   0   0.00   5.15   5.75   1.60  999  149    149   -5.15   0.0%    9.5%  19.0%   -9.5%  24  R       Oisix Albirex     EL
443        Suzuki Hayato  10  0  0   0   0    0   42  10.2  11   0   7   1    0   0   1   4   4   3.38   2.52   3.37   1.13   86   73     88    0.86   0.0%   16.7%   2.4%   14.3%  24  R       Oisix Albirex     EL
444        Takada Takuto  13  1  3   0   0    0  239  55.1  62   6  32  16    0   0   0  30  24   3.90   4.67   4.13   1.41   75  135    107   -0.77   2.5%   13.4%   6.7%    6.7%  22  L       Oisix Albirex     EL
445            Takano Yu   4  0  0   0   0    0   23   5.0   7   1   2   2    0   0   0   5   5   9.00   6.55   4.80   1.80   32  189    125    2.45   4.3%    8.7%   8.7%    0.0%  18  R       Oisix Albirex     EL
446         Uchida Kenta   5  1  0   0   0    0   17   3.2   3   0   1   3    0   0   0   0   0   0.00   5.46   5.98   1.64  999  158    155   -5.46   0.0%    5.9%  17.6%  -11.8%  25  L       Oisix Albirex     EL
447        Uemura Tomoki  34  1  4  20   0    0  139  32.2  27   1  30  18    1   2   5  11   9   2.48   3.95   3.94   1.38  118  114    102   -1.47   0.7%   21.6%  12.9%    8.6%  25  R       Oisix Albirex     EL
448        Yabuta Kazuki  14  2  5   0   0    0  350  76.0  98   6  41  31    0   0   4  47  40   4.74   4.72   4.51   1.70   62  136    117    0.02   1.7%   11.7%   8.9%    2.9%  32  R       Oisix Albirex     EL
449     Yamashita Kazuma   9  0  0   0   0    0   50   9.0  15   0   9   7    0   1   1  14   5   5.00   4.22   4.40   2.44   58  122    114    0.78   0.0%   18.0%  14.0%    4.0%  22  R       Oisix Albirex     EL
450      Adachi Masahiko  12  1  4   0   0    0  226  50.2  67   4  29  13    0   0   2  31  29   5.15   4.20   4.09   1.58   66  105    106    0.95   1.8%   12.8%   5.8%    7.1%  26  R     HAYATE Ventures     WL
451     Fujioka Yoshiaki  18  0  1   3   0    0   80  18.0  26   1  12   1    0   1   2  10   7   3.50   3.27   3.42   1.50   97   81     89    0.23   1.2%   15.0%   1.2%   13.7%  40  R     HAYATE Ventures     WL
452         Hamamoto Ken  19  0  1   1   0    0  100  18.0  26   1   9  21    0   1   0  25  23  11.50   6.94   6.00   2.61   29  173    156    4.56   1.0%    9.0%  21.0%  -12.0%  22  R     HAYATE Ventures     WL
453          Ikeya Sohta  20  2  3   0   0    0  103  22.1  29   1  19  12    1   1   0   8   7   2.82   4.18   4.12   1.84  120  104    107   -1.36   1.0%   18.4%  11.7%    6.8%  25  L     HAYATE Ventures     WL
454      Kasashima Naoki  14  2  5   0   0    0  333  79.0  71   3  58  23    0   5   1  31  22   2.51   3.64   3.75   1.19  135   91     97   -1.13   0.9%   17.4%   6.9%   10.5%  22  R     HAYATE Ventures     WL
455      Kurahashi Dojin  21  0  2   0   0    0   92  20.2  23   1  13  13    0   0   1  12   8   3.48   4.81   4.80   1.74   97  120    125   -1.33   1.1%   14.1%  14.1%    0.0%  22  R     HAYATE Ventures     WL
456          Miyaji Yura  11  0  1   2   0    0   47  11.1   8   0  10   4    1   2   0   2   2   1.59   3.37   3.52   1.06  213   84     92   -1.78   0.0%   21.3%   8.5%   12.8%  25  R     HAYATE Ventures     WL
457       Noguchi Wataru  10  0  3   0   0    0  105  17.1  31   1   9  26    0   3   2  23  23  11.94   8.28   6.42   3.29   28  206    167    3.66   1.0%    8.6%  24.8%  -16.2%  23  R     HAYATE Ventures     WL
458         Nomura Yuhki  27  0  3   0   0    0  130  27.0  32   0  15  16    0   3   0  14  14   4.67   4.55   4.88   1.78   73  113    127    0.12   0.0%   11.5%  12.3%   -0.8%  25  R     HAYATE Ventures     WL
459      Nozato Keishiro  26  2  0   2   0    0  118  26.0  28   0  14   7    0   2   1   8   6   2.08   3.51   4.21   1.35  163   87    109   -1.43   0.0%   11.9%   5.9%    5.9%  23  R     HAYATE Ventures     WL
460       Ochiai Shuichi  10  1  0   0   0    0   44  10.0   9   0   5   5    0   2   1   7   7   6.30   4.65   4.80   1.40   54  116    125    1.65   0.0%   11.4%  11.4%    0.0%  23  R     HAYATE Ventures     WL
461         Ohbae Kohshi  10  0  2   0   0    0   72  12.0  17   2  10  17    0   2   0  14  11   8.25   8.80   5.77   2.83   41  219    150   -0.55   2.8%   13.9%  23.6%   -9.7%  19  R     HAYATE Ventures     WL
462         Oishi Wataru  14  3  7   0   0    0  267  60.1  68   1  35  25    0   2   1  36  27   4.03   3.95   4.43   1.54   84   98    115    0.08   0.4%   13.1%   9.4%    3.7%  23  L     HAYATE Ventures     WL
463         Okuda Kanata  14  2  6   0   0    0  289  66.0  87   1  26  14    0   0   3  32  30   4.09   3.60   4.38   1.53   83   90    114    0.49   0.3%    9.0%   4.8%    4.2%  24  L     HAYATE Ventures     WL
464         Okuda Kensei  10  0  0   0   0    0   48   6.0  10   0   2  14    0   6   2  16  16  24.00  12.88   7.30   4.00   14  321    190   11.12   0.0%    4.2%  29.2%  -25.0%  25  R     HAYATE Ventures     WL
465         Satoh Hiroki  13  1  5   0   0    0  231  54.2  48   1  29  34    0   0   7  19  16   2.63   4.59   5.02   1.50  129  114    130   -1.96   0.4%   12.6%  14.7%   -2.2%  26  L     HAYATE Ventures     WL
466          Shohji Aoba   3  0  0   0   0    0    9   1.0   0   0   3   5    0   0   0   5   4  36.00  12.55   7.02   5.00    9  312    182   23.45   0.0%   33.3%  55.6%  -22.2%  24  L     HAYATE Ventures     WL
467   Takatori Shonosuke  10  2  3   0   1    0  179  43.0  38   2  23  21    0   2   1  14  14   2.93   4.69   4.69   1.37  116  117    122   -1.76   1.1%   12.8%  11.7%    1.1%  23  R     HAYATE Ventures     WL
468       Takeuchi Keito  19  2  1   0   0    0  122  28.0  28   2  17  13    0   1   1  14   9   2.89   4.77   4.47   1.46  117  119    116   -1.88   1.6%   13.9%  10.7%    3.3%  26  R     HAYATE Ventures     WL
469        Tamura Tomoki   4  2  1   0   0    0   51  14.0   8   0  12   3    0   0   0   2   2   1.29   2.48   3.04   0.79  263   62     79   -1.19   0.0%   23.5%   5.9%   17.6%  21  R     HAYATE Ventures     WL
470       Tanaka Kenjiro  28  3  0   3   0    0  121  31.0  27   1  24   6    0   0   0   8   8   2.32   3.00   3.31   1.06  146   75     86   -0.68   0.8%   19.8%   5.0%   14.9%  35  L     HAYATE Ventures     WL
471           Yamada Ryu  15  0  2   9   0    0   69  14.2  16   0   8  11    0   0   1   8   7   4.30   4.71   5.23   1.84   79  117    136   -0.41   0.0%   11.6%  15.9%   -4.3%  20  R     HAYATE Ventures     WL
472        Yamada Ryusei   9  2  2   0   0    0  182  45.1  31   1  36  21    0   0   2  10   9   1.79   3.64   3.98   1.15  189   91    103   -1.85   0.5%   19.8%  11.5%    8.2%  24  R     HAYATE Ventures     WL
